CENTRE;HAUTS-BASSINS;SAHEL
Kadiogo;Hauts-Bassins;Sahel
Komki-Ipala;Houet;Oudalan
Komsilga;Kenedougou;Séno
Koubri;Tuy;Soum
Ouagadougou;Bama;Yagha
Pabre;Bobo-Dioulasso;Deou
Saaba;Dande;Gorom-Gorom
Tanghin Dassouri;Faramana;Markoye
Baragho;Fo;Oursi
Komki-Ipala;Karankasso-Sambla;Tin-Akoff
Komki-Peulh;Karankasso-Vigue;Bani
Kossodo;Koundougou;Dori
Lao;Lena;Falagountou
Lao-Peulh;Padema;Gorgadji
Lemnogo;Peni;Sampelga
Lougbisse;Satiri;Seytenga
Nabelin;Toussiana;Arbinda
Sogue;Banzon;Baraboule
Tampoussoumdi;Djigouera;Diguel
Tanwogoma;Kangala;Djibo
Tintilou;Kayan;Kelbo
Toezouri;Koloko;Koutougou
Viou;Kourignon;Nassoumbou
Vipalogho;Kourouma;Pobe-Mengao
Wogzougou;Morolaba;Tongomayel
Yaoghin;N'dorola;Boundore
Bagtogdo;Orodara;Mansila
Bangma;Samogohiri;Sebba
Bassemyam;Samorogouan;Solhan
Dawanegomde;Sindo;Tankougounadie
Dayoubsi;Bekuy;Titabe
Garghin;Bereba;Boukessi
Goby;Bony;Déou
Googho;Founzan;Dibissi
Goumsi;Hounde;Férério
Kagtoudin;Koti;Gandafabou-Guelgobé
Kalzi;Koumbia;Gandafabou-Kelwélé
Kamsaontinga;Badara;Gargassa
Kienfangue;Bama;Gountawola
Kieryaoghin;Banakélédaga;Gountouré-Gnégné
Kogononghin;Banaorodougou;Gountouré-Kiri
Komsilga;Desso;Kitagou
Lado;Diarradougou;Saba
Nabitenga;Kouroukan;Tiofa
Pamnonghin;Lanfièra;Tountré-Poli
Ponsomtinga;Natèma;Adiarey-Diarey
Rawilgue;Niéguéma;Alliakoum
Sabtoana;Samandéni;Arréel
Saonre;Sandimisso;Assinga 1 (Willabé)
Silmissin;Sangoulema;Assinga 2 (Bellah)
Sindgin;Saouléni;Bagawa
Talfomenga;Séguéré;Balliata
Tampouy;Soungalodaga;Beiga
Tang-Sega;Sourkoudougou;Belel-Séno
Tansega;Tanwogoma;Bellagaoudi
Tiguindalgue;Toukoro;Bidy I
Tingandogo;Yirwal;Bidy II
Toeghin;Ziga;Bosseye -Barabé
Toeghin-Peulh;Vallée du Kou;Bosseye-Dogabé
Vaagogho;Bana;Bossey-Etage
Zamnongho;Baré;Boukari
Zinguedesse;Borodougou;Boundou-Woudoundou
Boussouma;Dafinso;Charam-Charam
Didri;Darsalamy;Dambouguel
Goghin;Dindéresso;Darga
Goumtoaga;Dingasso;Darkoye
Guiguemtinga;Dodougou;Débentia
Kankanghin;Dogotélama;Débéré-Doumam
Kouba;Doufiguisso;Débéré-Ling
Koubri;Farakoba;Déibéré-Nangué
Kuiti;Kékélesso;Déibéri
Mogtedo;Kimidougou;Djaoutel
Moince;Kokorowé;Djidé N’Darga
Naba-Zana;Koro;Djiéguérinto
Nakamtinga;Kotédougou;Doumam
Nambe;Kouakoualé;Essakane Site
Napagting-Gounghin;Kouentou;Essakane village
Noungou;Koumi;Férel
Peele;Léguéma;Féterdé
Pikieko;Logofourousso;Fourkoussou
Pissi;Matourkou;Gagara I
Poedogo;Moamy;Gagara II
Sinsinguene;Moussobadougou;Gaïgou
Tansablogo;Nasso;Gangani
Tanvi;Niamadougou;Goseye-Site
Wamtinga;Noumousso;Goseye-Village
Wedbila;Ouolokoto;Goulgountou Kelchatm
Bendatoega;Pala;Gountouré
Bidougou;Panamasso;Guessel
Bigtogo;Samagan;Intara
Bilgo;Santidougou;Kel-Eguief
Dabare;Sogossagasso;Kelfourwane
Gaskaye;Tondogosso;Kelgayane
