Articles (corpus_PADI43.csv)	Topic 0 : santé / maladie / vaccin / contre / enfant / covid / 19 / pays / cas / population	Topic 1 : Afrique / pandémie / rapport / économique / covid / 19 / subsaharien / africain / croissance / pauvreté	Topic 2 : pouvoir / bénin / devoir / vie / prendre / produit / béninois / charge / santé / population	Topic 3 : eau / qualité / ressource / développement / pouvoir / population / forum / durable / cadre / acteur	Topic 4 : production / tonne / producteur / agricole / année / riz / permettre / pouvoir / local / filière	Topic 5 : climatique / pouvoir / changement / protéger / monde / impact / écosystème / mondial / devoir / solution	Topic 6 : prix / Digital / cfa / banouto / mois / produit / hausse / vou / libre / souscrire	Topic 7 : pouvoir / pêche / étude / recherche / pays / chercheur / Dakar / utiliser / Sénégal / animal	Topic 8 : pays / pouvoir / économique / financier / dollar / économie / entreprise / secteur / devoir / afrique	Topic 9 : produit / marché / national / ministre / mettre / local / gouvernement / population / alimentaire / consommation	Topic 10 : prix / blé / alimentaire / Ukraine / mondial / guerre / pays / hausse / Russie / produit	Topic 11 : Afrique / africain / pays / banque / développement / financement / financier / continent / milliard / mondial	Topic 12 : social / développement / plan / ressource / protection / politique / économique / public / national / budgétaire	Topic 13 : énergie / énergétique / gaz / projet / politique / sénégal / huile / naturel / coût / grand	Topic 14 : alimentaire / agricole / ministre / pays / président / ménage / crise / projet / programme / rural	Topic 15 : eau / service / système / sanitaire / Bénin / bénin / formation / public / qualité / potable	Topic 16 : recette / développement / projet / milliard / fonds / cfa / franc / bénin / pays / million	Topic 17 : cas / pays / virus / pandémie / 19 / million / covid / mesure / maladie / coronavirus	Topic 18 : activité / étude / fiscal / rapport / pib / période / secteur / environnement / tendance / recette	Topic 19 : climatique / changement / émission / milliard / entreprise / impôt / taxe / niveau / système / pays
article 0	0.00052	0.00052	0.00052	0.00052	0.06027	0.02614	0.00052	0.00052	0.38043	0.48749	0.03785	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052
article 1	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.08974	0.68718	0.17909	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.03942
article 2	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.98304	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089
article 3	0.07587	0.06671	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.39462	0.08836	0.064	0.25353	0.00036	0.00036	0.00036	0.00036	0.05215
article 4	0.00045	0.00045	0.00045	0.00045	0.38437	0.00045	0.46735	0.00045	0.00045	0.00045	0.00045	0.00045	0.00045	0.00045	0.00045	0.00045	0.00045	0.00045	0.14069	0.00045
article 5	0.19013	0.00036	0.00036	0.06354	0.06144	0.1665	0.00036	0.00036	0.00036	0.00036	0.04846	0.00036	0.00036	0.00036	0.00036	0.10363	0.36166	0.00036	0.00036	0.00036
article 6	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.99414	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031
article 7	0.00043	0.00043	0.00043	0.00043	0.06753	0.00043	0.01675	0.00043	0.00043	0.12158	0.78729	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043
article 8	0.00034	0.00034	0.62432	0.04789	0.00034	0.00034	0.00034	0.1445	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.17778
article 9	0.10826	0.00052	0.00052	0.29564	0.20668	0.00052	0.00052	0.00052	0.00052	0.2872	0.00052	0.00052	0.0944	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052
article 10	0.00024	0.00024	0.35978	0.00024	0.2766	0.2304	0.00024	0.12941	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024
article 11	0.66454	0.04214	0.00014	0.00014	0.00014	0.00014	0.10081	0.00014	0.00014	0.00014	0.00014	0.16069	0.02974	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014
article 12	0.00061	0.14283	0.00061	0.45005	0.00061	0.31959	0.00061	0.00061	0.00061	0.00061	0.07778	0.00061	0.00061	0.00061	0.00061	0.00061	0.00061	0.00061	0.00061	0.00061
article 13	0.00029	0.00029	0.11848	0.67368	0.00029	0.00029	0.00029	0.00029	0.14158	0.00029	0.00029	0.00029	0.06169	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029
