Articles (articles_PADI_relevant.csv)	Topic 0 : million / milliard / franc / entreprise / affaire / service / marché / chiffre / sénégal / cfa	Topic 1 : covid / 19 / cas / pandémie / santé / pays / contre / Sénégal / sanitaire / crise	Topic 2 : femme / pouvoir / homme / journée / vie / fille / famille / jour / bien / mars	Topic 3 : Afrique / développement / eau / pays / africain / Sénégal / mondial / international / durable / agriculture	Topic 4 : sénégal / bon / équipe / voir / bien / beaucoup / gagner / vraiment / yer / match	Topic 5 : Sénégal / sénégalais / président / Diop / Ndiaye / dakar / Senghor / Mamadou / Afrique / Dakar	Topic 6 : enseignant / éducation / élève / école / accord / gouvernement / syndicat / problème / cours / année	Topic 7 : loi / droit / national / assemblée / député / pouvoir / maire / article / Sénégal / code	Topic 8 : élection / électoral / candidat / pouvoir / politique / parti / devoir / vote / opposition / justice	Topic 9 : lion / finale / but / Sénégal / match / minute / egypte / face / février / victoire	Topic 10 : président / politique / pouvoir / Wade / sénégalais / Macky / Abdoulaye / sall / etat / parti	Topic 11 : pays / africain / pouvoir / économique / produit / économie / président / Afrique / alimentaire / continent	Topic 12 : sénégal / ramener / beaucoup / monde / new / ligne / petit / bon / mener / voir	Topic 13 : équipe / joueur / match / Sénégal / coupe / jouer / pouvoir / club / national / lion	Topic 14 : pêche / ressource / riz / acteur / secteur / local / pétrole / Sénégal / national / gaz	Topic 15 : père / jour / grand / venir / sénégalais / famille / fils / village / vivre / terre	Topic 16 : eau / zone / population / région / commune / village / terre / pouvoir / rural / service	Topic 17 : pouvoir / aujourd / sénégal / voir / état / devoir / vouloir / savoir / bien / beaucoup	Topic 18 : Sénégal / milliard / etat / sénégalais / gouvernement / Bénin / ministre / sénégal / CFA / public	Topic 19 : agricole / producteur / production / bénin / gouvernement / tonne / agriculture / national / produit / ministre	Topic 20 : ministre / président / république / etat / chef / national / conseil / Macky / communication / gouvernement	Topic 21 : pouvoir / information / réseau / donnée / social / Sénégal / devoir / sénégalais / communication / numérique	Topic 22 : projet / formation / national / développement / programme / secteur / travail / centre / financement / cadre	Topic 23 : Wade / etat / sénégalais / chef / prendre / pouvoir / guerre / Ukraine / pays / président	Topic 24 : prix / fcfa / produit / hausse / marché / milliard / année / denrée / mois / franc	Topic 25 : pays / militaire / russe / Ukraine / Mali / président / force / armée / Russie / sanction	Topic 26 : affaire / justice / presse / dossier / dernier / mort / victime / pouvoir / contre / enquête	Topic 27 : santé / enfant / alimentaire / hôpital / maladie / sanitaire / système / médecin / civil / médical	Topic 28 : football / national / sport / sénégal / fédération / sénégalais / président / stade / coupe / sportif	Topic 29 : beaucoup / pouvoir / artiste / voir / culture / sénégalais / musique / venir / bien / vraiment	Topic 30 : sénégal / état / heure / édition / pouvoir / commune / sénégalais / jour / autorité / président	Topic 31 : Cheikh / religieux / musulman / professeur / Sénégal / communauté / fête / université / monde / science	Topic 32 : pouvoir / politique / pays / devoir / sénégalais / Sénégal / bien / homme / monde / peuple	Topic 33 : coalition / liste / élection / Yewwi / sonko / leader / politique / opposition / Askan / maire	Topic 34 : jeune / emploi / pouvoir / pays / entreprise / programme / local / jeunesse / devoir / politique
article 0	0.00021	0.20894	0.03792	0.20219	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.04443	0.00021	0.00021	0.31755	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.06764	0.00021	0.00021	0.11537	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021
article 1	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.03012	0.34789	0.00062	0.00062	0.00062	0.53389	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.06885	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062	0.00062
article 2	0.00034	0.00034	0.12508	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.08117	0.00034	0.00034	0.00034	0.00034	0.0193	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.59534	0.00034	0.00034	0.16903	0.00034	0.00034	0.00034	0.00034	0.00034
article 3	0.00021	0.00021	0.00021	0.00021	0.00021	0.47855	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.48019	0.00021	0.00021	0.00021	0.00021	0.03458	0.00021	0.00021	0.00021	0.00021
article 4	0.00031	0.00031	0.00031	0.00031	0.00031	0.24781	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.04523	0.06228	0.12248	0.00031	0.00031	0.00031	0.00031	0.00031	0.11794	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.36924	0.00031	0.02642	0.00031	0.00031	0.00031
article 5	0.00717	6e-05	6e-05	0.02655	0.10696	6e-05	0.03395	0.02632	0.04128	6e-05	6e-05	6e-05	0.71289	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.0434	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05
article 6	0.00034	0.00034	0.00034	0.00034	0.00034	0.12503	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.77204	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.09217	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034
article 7	9e-05	9e-05	9e-05	9e-05	9e-05	0.04854	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.0596	9e-05	0.7592	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.12985	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05
article 8	0.0003	0.0003	0.0003	0.0003	0.58462	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.22726	0.0003	0.0003	0.0003	0.07154	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.10717	0.0003	0.0003	0.0003	0.0003	0.0003
article 9	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.06271	4e-05	4e-05	0.0535	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.40073	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.48198	4e-05	4e-05	4e-05	4e-05	4e-05
