Articles (youtube_transcriptions.csv)	Topic 0 : femme / pouvoir / journée / international / bénin / ministre / développement / voir / aujourd / gouvernement	Topic 1 : élection / coalition / département / sénégal / résultat / équipe / commune / frontière / vendredi / vraiment	Topic 2 : pouvoir / social / yer / niveau / sécurité / vouloir / femme / bien / russie / état	Topic 3 : ukraine / africain / aujourd / russie / sénégal / guerre / pouvoir / crise / international / état	Topic 4 : bénin / gouvernement / pouvoir / citoyen / temps / action / bien / travail / entreprise / béninois	Topic 5 : enfant / protection / société / sénégal / famille / yer / vraiment / état / programme / population	Topic 6 : pouvoir / sénégal / sénégalais / bien / président / état / voir / devoir / venir / niveau	Topic 7 : ramener / ligne / beaucoup / new / bon / sénégal / mener / niveau / petit / monsieur	Topic 8 : financier / fonction / protocole / système / collectivité / température / technicien / instance / degré / commencer	Topic 9 : bénin / pouvoir / national / contre / pays / état / projet / enfant / programme / année	Topic 10 : kilogramme / victime / rouge / croix / drame / stock / médicament / kit / côté / recevoir	Topic 11 : aujourd / pouvoir / radio / céréale / année / patient / matière / élève / national / pays	Topic 12 : blé / aujourd / pouvoir / pays / niveau / tonne / état / permettre / politique / beaucoup	Topic 13 : main / attention / devoir / limiter / respecter / geste / uni / sanitaire / transmettre / virus	Topic 14 : femme / journée / pouvoir / mars / droit / cancer / homme / violence / beaucoup / international	Topic 15 : île / entraîneur / envergure / entrée / entretien / entretenir / entrer / entreprise / entrepreneur / entreprendre	Topic 16 : maladie / pouvoir / voir / aujourd / population / extrêmement / yer / million / savoir / insuffisance	Topic 17 : île / entraîneur / envergure / entrée / entretien / entretenir / entrer / entreprise / entrepreneur / entreprendre	Topic 18 : burkina / pouvoir / activité / femme / projet / déplacer / faso / interne / vraiment / pays	Topic 19 : burkinabè / enfant / burkina / région / association / pouvoir / faso / transition / prix / charge	Topic 20 : prix / pouvoir / entreprise / financier / idée / jeune / voir / produit / mondial / franc	Topic 21 : commune / maire / population / édition / potable / localité / eau / parité / club / beaucoup	Topic 22 : franc / million / cfer / prime / cfa / total / qualification / joueur / monde / afrique	Topic 23 : fille / bénin / pouvoir / éducation / forum / nation / travail / réseau / cour / gouvernement	Topic 24 : eau / sénégal / forum / voir / pouvoir / grand / pays / milliard / bien / vouloir
article 0	2e-05	2e-05	2e-05	0.06943	2e-05	2e-05	0.63248	2e-05	2e-05	0.29761	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05	2e-05
article 1	0.00017	0.02596	0.00017	0.00017	0.00017	0.23727	0.29781	0.25915	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.17647	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017
article 2	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.99086	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038
article 3	0.02849	0.01847	3e-05	3e-05	3e-05	3e-05	0.71335	3e-05	3e-05	0.14961	3e-05	3e-05	3e-05	3e-05	0.08951	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05
article 4	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	0.99938	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05
article 5	3e-05	0.03049	3e-05	3e-05	3e-05	3e-05	0.67157	3e-05	3e-05	0.16684	3e-05	3e-05	3e-05	3e-05	0.08019	3e-05	3e-05	3e-05	3e-05	3e-05	0.05031	3e-05	3e-05	3e-05	3e-05
article 6	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.52071	0.29128	5e-05	0.02547	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.16147	5e-05	5e-05	5e-05	5e-05
article 7	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.78327	0.09875	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.06919	0.00011	0.04648	0.00011	0.00011
article 8	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.99127	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036
article 9	3e-05	0.02509	3e-05	3e-05	3e-05	3e-05	0.95141	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	0.02287	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05
